Label	abundance	degree	name	negdegree	oriID	posdegree	samplecount	selected	shared.name	unknowndegree	Taxon	Confidence.x	database_id.x	Inhibitory.x	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence.y	database_id.y	Inhibitory.y
00f31abc7cdc4b21954e4dcd1f87c422	9.50666666666667	11	00f31abc7cdc4b21954e4dcd1f87c422	0	00f31abc7cdc4b21954e4dcd1f87c422	11	1	false	00f31abc7cdc4b21954e4dcd1f87c422	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__	0.990590311	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	 s__	0.990590311	Noninhibitory	Noninhibitory
03496a3f7dcbeefb48313d87836888ca	11.0882978723404	9	03496a3f7dcbeefb48313d87836888ca	0	03496a3f7dcbeefb48313d87836888ca	9	2	false	03496a3f7dcbeefb48313d87836888ca	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__paraputrificum	0.879084878	Noninhibitory	Noninhibitory	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium	 s__paraputrificum	0.879084878	Noninhibitory	Noninhibitory
03a533c87ed1b0a0fbae13482427dd15	4.65714285714286	14	03a533c87ed1b0a0fbae13482427dd15	0	03a533c87ed1b0a0fbae13482427dd15	14	1	false	03a533c87ed1b0a0fbae13482427dd15	0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__; s__	0.999651758	Noninhibitory	Noninhibitory	k__Archaea	 p__Crenarchaeota	 c__Thaumarchaeota	 o__Cenarchaeales	 f__Cenarchaeaceae	 g__	 s__	0.999651758	Noninhibitory	Noninhibitory
0576d45a911b53117032d760eb39d689	166.068965517241	57	0576d45a911b53117032d760eb39d689	0	0576d45a911b53117032d760eb39d689	57	1	false	0576d45a911b53117032d760eb39d689	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Emticicia; s__	1	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__Cytophagaceae	 g__Emticicia	 s__	1	Noninhibitory	Noninhibitory
05fca624332f3e060efcff1d391a9369	7.89090909090909	57	05fca624332f3e060efcff1d391a9369	0	05fca624332f3e060efcff1d391a9369	57	1	false	05fca624332f3e060efcff1d391a9369	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__	0.999999936	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__	0.999999936	Noninhibitory	Noninhibitory
0646e2d2b6879bcfa7bd2d5fbd14a8de	24516.1425120773	5	0646e2d2b6879bcfa7bd2d5fbd14a8de	0	0646e2d2b6879bcfa7bd2d5fbd14a8de	5	4	false	0646e2d2b6879bcfa7bd2d5fbd14a8de	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vogesella; s__	0.999996644	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Neisseriales	 f__Neisseriaceae	 g__Vogesella	 s__	0.999996644	Noninhibitory	Noninhibitory
070cc7cefe482682f056e340a569c569	153.991428571428	1	070cc7cefe482682f056e340a569c569	0	070cc7cefe482682f056e340a569c569	1	5	false	070cc7cefe482682f056e340a569c569	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Dechloromonas; s__	0.979761751	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Rhodocyclales	 f__Rhodocyclaceae	 g__Dechloromonas	 s__	0.979761751	Noninhibitory	Noninhibitory
07fa9098a4f3ce0fbbf755ada6588588	53.6772277227722	3	07fa9098a4f3ce0fbbf755ada6588588	0	07fa9098a4f3ce0fbbf755ada6588588	3	3	false	07fa9098a4f3ce0fbbf755ada6588588	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	0.999994376	Mada.1840.Madagascar.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__[Weeksellaceae]	 g__Chryseobacterium	 s__	0.999994376	Mada.1840.Madagascar.Wild.Bd.Inhibitory	Inhibitory
09aec8b89431427022c412a3f6a8bd3e	4.16737739872068	14	09aec8b89431427022c412a3f6a8bd3e	0	09aec8b89431427022c412a3f6a8bd3e	14	1	false	09aec8b89431427022c412a3f6a8bd3e	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__[Clostridium]; s__bifermentans	0.966895415	Noninhibitory	Noninhibitory	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Peptostreptococcaceae	 g__[Clostridium]	 s__bifermentans	0.966895415	Noninhibitory	Noninhibitory
09c7eaf574b4e5a669e167762dc58d1a	52.06	57	09c7eaf574b4e5a669e167762dc58d1a	0	09c7eaf574b4e5a669e167762dc58d1a	57	1	false	09c7eaf574b4e5a669e167762dc58d1a	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__	0.999998518	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__	 s__	0.999998518	Noninhibitory	Noninhibitory
0a47c8b4a952345ae6f513786e026d91	246.389502762431	1	0a47c8b4a952345ae6f513786e026d91	0	0a47c8b4a952345ae6f513786e026d91	1	16	false	0a47c8b4a952345ae6f513786e026d91	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.999995639	Noninhibitory	Noninhibitory	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	NA	NA	NA	0.999995639	Noninhibitory	Noninhibitory
0ae37a4d19516d9f109edffbf5e67751	19.0695970695971	57	0ae37a4d19516d9f109edffbf5e67751	0	0ae37a4d19516d9f109edffbf5e67751	57	1	false	0ae37a4d19516d9f109edffbf5e67751	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.99122721	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	NA	NA	0.99122721	Noninhibitory	Noninhibitory
0c9ca82771cfeb384a682dbbfb6d9725	8.54853273137697	14	0c9ca82771cfeb384a682dbbfb6d9725	0	0c9ca82771cfeb384a682dbbfb6d9725	14	1	false	0c9ca82771cfeb384a682dbbfb6d9725	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	0.999999884	Noninhibitory	Noninhibitory	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Leuconostocaceae	NA	NA	0.999999884	Noninhibitory	Noninhibitory
0d3b280a208598b483042c49c3a1839b	404.172857142857	3	0d3b280a208598b483042c49c3a1839b	0	0d3b280a208598b483042c49c3a1839b	3	1	false	0d3b280a208598b483042c49c3a1839b	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__terrigena	0.738913719	Noninhibitory	Noninhibitory	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__terrigena	0.738913719	Noninhibitory	Noninhibitory
0e2da19274ce5e1ee9e5e46266ba5cc8	31.4506329113924	7	0e2da19274ce5e1ee9e5e46266ba5cc8	0	0e2da19274ce5e1ee9e5e46266ba5cc8	7	2	false	0e2da19274ce5e1ee9e5e46266ba5cc8	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	0.999988242	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__	 g__	 s__	0.999988242	Noninhibitory	Noninhibitory
0ec1df4fe4d043317e7d5ca9e7a5ac0d	41.7814569536424	4	0ec1df4fe4d043317e7d5ca9e7a5ac0d	0	0ec1df4fe4d043317e7d5ca9e7a5ac0d	4	1	false	0ec1df4fe4d043317e7d5ca9e7a5ac0d	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__	0.999983241	Noninhibitory	Noninhibitory	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__[Weeksellaceae]	 g__	 s__	0.999983241	Noninhibitory	Noninhibitory
0f9a15d5f90df2d074590dcd9ce43769	403.893069306931	3	0f9a15d5f90df2d074590dcd9ce43769	0	0f9a15d5f90df2d074590dcd9ce43769	3	1	false	0f9a15d5f90df2d074590dcd9ce43769	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	0.999945946	Mada.3107.Madagascar.Wild.Bd.Inhibitory	Inhibitory	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__[Weeksellaceae]	 g__Chryseobacterium	 s__	0.999945946	Mada.3107.Madagascar.Wild.Bd.Inhibitory	Inhibitory
