KO	Temperature	Dose	delta	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K00007	T14	5.00E+03	0.000738221	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+03	0.000738221	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+03	0.000738221	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+03	0.000738221	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+04	-5.62E-06	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+04	-5.62E-06	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+04	-5.62E-06	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+04	-5.62E-06	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+05	0.007652038	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+05	0.007652038	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+05	0.007652038	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+05	0.007652038	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+06	0.011121272	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	T14	5.00E+06	0.011121272	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
